Thread filter: GLThread; sampled CPU total 3028.2 ms
Self ms | Inclusive ms | Method
  2646.6 |       2646.6 | com.google.android.gles_jni.EGLImpl.eglSwapBuffers
    57.9 |         57.9 | android.opengl.GLES20.glBufferData
    35.9 |         35.9 | com.badlogic.gdx.utils.BufferUtils.copyJni
    15.7 |         15.7 | java.lang.Math.max
    15.5 |         15.5 | java.lang.Float.intBitsToFloat
    14.9 |         83.5 | cube.run.core.gfx.PrismBatch.coin
    14.2 |         14.2 | java.lang.Float.floatToRawIntBits
    10.0 |         10.0 | android.media.SoundPool._play
     8.7 |         21.2 | cube.run.core.gfx.BoxMeshKit.lightFace
     8.4 |          8.4 | kotlin.jvm.internal.Intrinsics.checkNotNullExpressionValue
     8.1 |         28.6 | java.lang.Math.abs
     8.0 |          8.0 | cube.run.game.world.Fog.at
     8.0 |          8.0 | kotlin.jvm.internal.Intrinsics.checkNotNullParameter
     5.7 |          5.7 | java.lang.Math.min
     5.6 |         12.3 | com.badlogic.gdx.utils.NumberUtils.intToFloatColor
     5.6 |          5.6 | android.os.BinderProxy.transactNative
     5.4 |          5.4 | com.badlogic.gdx.math.Matrix4.prj
     5.4 |          5.4 | com.badlogic.gdx.math.Vector3.scl
     5.1 |          5.1 | com.badlogic.gdx.backends.android.DefaultAndroidInput.processEvents
     4.8 |          4.8 | com.badlogic.gdx.backends.android.AndroidGraphics.getWidth
     4.7 |          4.7 | android.os.Trace.traceBegin
     4.5 |          4.5 | android.opengl.GLES20.glDepthMask
     4.3 |          4.3 | kotlin.random.RandomKt.takeUpperBits
     4.1 |          4.1 | android.opengl.GLES20.glUniformMatrix4fv
     4.0 |          4.0 | com.badlogic.gdx.graphics.glutils.ShaderProgram.checkManaged
     3.9 |          3.9 | com.badlogic.gdx.graphics.glutils.ShapeRenderer$ShapeType.getGlType
     3.9 |          3.9 | cube.run.core.GameHostSession.ui
     3.6 |          3.6 | android.opengl.GLES20.glBindBuffer
     3.4 |          4.9 | com.badlogic.gdx.utils.TimSort.countRunAndMakeAscending
     3.0 |          5.3 | java.lang.AbstractStringBuilder.append
