run,kernel_down_ns,kernel_first_move_ns,trial,action,ui_down_ns,ui_first_move_ns,gl_down_ns,gl_first_move_ns,applied_ns,first_render_ns,half_lane_ns,ninety_lane_ns
1.4-cruise-120,1142216724837764,1142216732477400,0,1,1142216728888858,1142216750580162,1142216734920942,1142216762601257,1142216798590636,1142216812243033,1142216843147828,1142216962487736
1.4-cruise-120,1142217731219479,1142217739410209,1,2,1142217733800521,1142217753056929,1142217736884844,1142217765979430,1142217817676727,1142217831329281,1142217865218971,1142217983321848
1.4-cruise-120,1142218738413277,1142218746330830,2,3,1142218741057184,1142218755727966,1142218751801872,1142218768510051,1142218820329744,1142218834045839,0,0
1.4-cruise-120,1142219745545044,1142219753218066,3,4,1142219748084524,1142219774854943,1142219754462337,1142219787300830,1142219823088489,1142219836534480,0,0
1.4-cruise-120,1142220752414051,1142220760343635,4,1,1142220754838686,1142220777374105,1142220757548687,1142220789898429,1142220825143954,1142220839280570,1142220871555000,1142220989190949
1.4-cruise-120,1142221759437849,1142221767369412,5,2,1142221762214464,1142221779960559,1142221775936653,1142221792312748,1142221844274107,1142221857599265,1142221890941456,1142222010250114
1.4-cruise-120,1142222766445970,1142222774321908,6,3,1142222770149095,1142222782364201,1142222778978003,1142222794094671,1142222848780926,1142222860372959,0,0
1.4-cruise-120,1142223773267789,1142223781210863,7,4,1142223776042217,1142223801488729,1142223782680915,1142223814238366,1142223849325922,1142223863884725,0,0
1.4-cruise-120,1142224780382369,1142224788224609,8,1,1142224783283984,1142224804160131,1142224784898411,1142224816270758,1142224868535450,1142224883019827,1142224913747590,1142225034218904
1.4-cruise-120,1142225787402365,1142225795352522,9,2,1142225790017573,1142225806715856,1142225804222106,1142225818921951,1142225871553727,1142225885160500,1142225916357794,1142226038026244
1.4-cruise-120,1142226794386632,1142226802332778,10,3,1142226796699184,1142226809153092,1142226804714185,1142226821419655,1142226873964713,1142226887363620,0,0
1.4-cruise-120,1142227801568659,1142227809413556,11,4,1142227804161159,1142227828391214,1142227809258816,1142227840817674,1142227876158510,1142227890950647,0,0
1.4-cruise-120,1142228808535218,1142228816202146,12,1,1142228811654072,1142228830831053,1142228825896678,1142228843076419,1142228894689029,1142228909268770,1142228941765752,1142229061027535
1.4-cruise-120,1142229815433599,1142229823220475,13,2,1142229817971777,1142229833241257,1142229829257715,1142229845670009,1142229897411316,1142229910959598,1142229942338925,1142230063323572
1.4-cruise-120,1142230822263023,1142230830331773,14,3,1142230825970731,1142230852633338,1142230833247347,1142230864852819,1142230899980635,1142230914606573,0,0
1.4-cruise-120,1142231829381456,1142231837210728,15,4,1142231831893019,1142231854916407,1142231835658019,1142231867228179,1142231902233651,1142231917375007,0,0
1.4-cruise-120,1142232836503484,1142232844392130,16,1,1142232839311869,1142232857342132,1142232852959006,1142232869696091,1142232921872138,1142232935859952,1142232969249903,1142233087338144
1.4-cruise-120,1142233843454834,1142233851339314,17,2,1142233846308949,1142233860069054,1142233855909210,1142233872414212,1142233924223280,1142233937718906,1142233969689013,1142234087978504
1.4-cruise-120,1142234850278320,1142234858216185,18,3,1142234854383164,1142234879261812,1142234860482644,1142234892000772,1142234927399317,1142234940123849,0,0
1.4-cruise-120,1142235857417274,1142235865386129,19,4,1142235860803525,1142235881901808,1142235862579931,1142235894582122,1142235946319523,1142235959788066,0,0
1.4-cruise-120,1142236864236593,1142236872302323,20,1,1142236866600864,1142236884311127,1142236879593626,1142236896055399,1142236948013112,1142236962590822,1142236993634939,1142237112668806
1.4-cruise-120,1142237871419871,1142237879538257,21,2,1142237875223881,1142237886643518,1142237883371591,1142237898684925,1142237951122431,1142237964410974,1142237996666810,1142238116649791
1.4-cruise-120,1142238878517211,1142238886205493,22,3,1142238881609555,1142238906144870,1142238886723097,1142238917632475,1142238954425708,1142238968065813,0,0
1.4-cruise-120,1142239885381217,1142239893220853,23,4,1142239887891842,1142239908538303,1142239889358457,1142239920508877,1142239972652736,1142239987102061,0,0
1.4-cruise-120,1142240892652359,1142240900401318,24,1,1142240895949807,1142240911070590,1142240906213246,1142240923269446,1142240975407211,1142240988614452,1142241021518049,1142241140509571
1.4-cruise-120,1142241899259907,1142241907218710,25,2,1142241904743241,1142241930066577,1142241913673346,1142241942681266,1142241977366946,1142241991128302,1142242024268514,1142242143462692
1.4-cruise-120,1142242906355424,1142242914359540,26,3,1142242908558966,1142242932507823,1142242912919123,1142242944977668,1142242979487515,1142242993544496,0,0
1.4-cruise-120,1142243913295264,1142243921431880,27,4,1142243915613337,1142243935002246,1142243916020473,1142243946801622,1142243999391939,1142244013736524,0,0
1.4-cruise-120,1142244920293906,1142244928223074,28,1,1142244924413907,1142244937690939,1142244932953595,1142244949573284,1142245001488654,1142245015459749,1142245048185586,1142245167088410
1.4-cruise-120,1142245927412913,1142245935333174,29,2,1142245929953382,1142245956637134,1142245938346716,1142245969049375,1142246004587868,1142246017232974,1142246050962092,1142246168109239
1.4-cruise-120,1142246934497753,1142246942339837,30,3,1142246936964107,1142246959445620,1142246939722337,1142246971381767,1142247006671510,1142247020088490,0,0
1.4-cruise-120,1142247941562541,1142247949377958,31,4,1142247944569676,1142247962105928,1142247957502125,1142247974843117,1142248025867236,1142248040539582,0,0
1.4-cruise-120,1142248948498735,1142248956332277,32,1,1142248951231287,1142248964424569,1142248960405819,1142248976809675,1142249027936190,1142249042779577,1142249074809685,1142249192905790
1.4-cruise-120,1142249955435241,1142249963212013,33,2,1142249958339408,1142249983508109,1142249963821857,1142249995728162,1142250030651655,1142250044740719,1142250092358432,1142250196173911
1.4-cruise-120,1142250962396644,1142250970338051,34,3,1142250965374456,1142250986042323,1142250966977061,1142250998344355,1142251050224934,1142251064321758,0,0
1.4-cruise-120,1142251969608671,1142251977334036,35,4,1142251972727682,1142251988720548,1142251984473516,1142252000559924,1142252053081804,1142252067929149,0,0
1.4-cruise-120,1142252976336688,1142252984338147,36,1,1142252979292105,1142252991018148,1142252988597418,1142253003441482,1142253055335081,1142253069292218,1142253101805971,1142253220879316
1.4-cruise-120,1142253983257726,1142253991337987,37,2,1142253985749236,1142254010038718,1142253990789445,1142254022159813,1142254057560025,1142254070958776,1142254104344196,1142254222252125
1.4-cruise-120,1142254990387149,1142254998269806,38,3,1142254993683712,1142255012885068,1142255008912359,1142255025516996,1142255076777783,1142255090520596,0,0
1.4-cruise-120,1142255997444176,1142256005345271,39,4,1142256000924802,1142256015181157,1142256011094230,1142256027436211,1142256079046424,1142256094166061,0,0
1.4-cruise-120,1142257004400891,1142257012338132,40,1,1142257007743704,1142257034728290,1142257014228028,1142257046345687,1142257082049805,1142257095722411,1142257128979862,1142257245560499
1.4-cruise-120,1142258011244898,1142258019218909,41,2,1142258014475731,1142258036884432,1142258017268388,1142258048926672,1142258084207457,1142258097587667,1142258129853347,1142258248368203
1.4-cruise-120,1142259018432186,1142259026220728,42,3,1142259021464165,1142259039465625,1142259035708854,1142259052063804,1142259103514642,1142259116815164,0,0
1.4-cruise-120,1142260025316765,1142260033219266,43,4,1142260028028536,1142260041807861,1142260036829943,1142260053677758,1142260106079898,1142260119851827,0,0
1.4-cruise-120,1142261032531293,1142261040373741,44,1,1142261037117491,1142261060933222,1142261043390877,1142261072905880,1142261108244373,1142261122173385,1142261155280992,1142261273098244
1.4-cruise-120,1142262039569778,1142262047361602,45,2,1142262044678737,1142262063746656,1142262046800977,1142262075470667,1142262127760568,1142262141084528,1142262173255208,1142262293509439
1.4-cruise-120,1142263046258368,1142263054355348,46,3,1142263049769723,1142263066047016,1142263061403734,1142263077887955,1142263130121033,1142263144137284,0,0
1.4-cruise-120,1142264053643833,1142264061241959,47,4,1142264057777427,1142264068610137,1142264068295032,1142264080732065,1142264133233320,1142264146990665,0,0
1.4-cruise-8,1141767550714476,1141767558630102,0,1,1141767552640570,1141767567853384,1141767561671561,1141767577465937,1141767579066042,1141767593587241,1141767626723807,1141767746003871
1.4-cruise-8,1141768557842389,1141768565661244,1,2,1141768559768483,1141768575259370,1141768565619942,1141768580273381,1141768581922704,1141768595613278,1141768645319742,1141768747642096
1.4-cruise-8,1141769564788219,1141769572641969,2,3,1141769566921083,1141769581973325,1141769567931396,1141769582383533,1141769584297960,1141769598150670,0,0
1.4-cruise-8,1141770571741131,1141770579574361,3,4,1141770574133892,1141770588815039,1141770585348320,1141770601651603,1141770603448739,1141770617454730,0,0
1.4-cruise-8,1141771578729409,1141771586643264,4,1,1141771581349670,1141771596375140,1141771588856754,1141771604222745,1141771605994412,1141771619535611,1141771651069208,1141771771910574
1.4-cruise-8,1141772585690030,1141772593661645,5,2,1141772587859041,1141772602926334,1141772591760083,1141772606473886,1141772608200814,1141772621848940,1141772670058528,1141772773651142
1.4-cruise-8,1141773592793360,1141773600681433,6,3,1141773595042474,1141773610197372,1141773609124767,1141773625378154,1141773627098571,1141773640804458,0,0
1.4-cruise-8,1141774599790074,1141774607658252,7,4,1141774602022783,1141774615881430,1141774612758826,1141774627531015,1141774629609504,1141774643867631,0,0
1.4-cruise-8,1141775606730904,1141775614516373,8,1,1141775609022831,1141775624219031,1141775616279603,1141775630427625,1141775632071896,1141775646123252,1141775693944402,1141775798284204
1.4-cruise-8,1141776613682931,1141776621638349,9,2,1141776615787619,1141776630626162,1141776618195015,1141776632338246,1141776633969444,1141776649662674,1141776696500960,1141776800931856
1.4-cruise-8,1141777620742407,1141777628653814,10,3,1141777622963865,1141777637977825,1141777635888919,1141777652372878,1141777654294337,1141777667847463,0,0
1.4-cruise-8,1141778627689330,1141778635633758,11,4,1141778630461205,1141778642380529,1141778638745164,1141778653906780,1141778655690062,1141778670850636,0,0
1.4-cruise-8,1141779634575680,1141779642647816,12,1,1141779637215732,1141779651922557,1141779642274379,1141779657539849,1141779659298808,1141779673703288,1141779720158084,1141779823781845
1.4-cruise-8,1141780641692499,1141780649654792,13,2,1141780643703333,1141780658879168,1141780645127968,1141780660639584,1141780662252345,1141780675553388,1141780724134903,1141780828256476
1.4-cruise-8,1141781648706297,1141781656636715,14,3,1141781651368589,1141781666081299,1141781662939163,1141781678712134,1141781680669321,1141781694155885,0,0
1.4-cruise-8,1141782655692492,1141782663632388,15,4,1141782658162596,1141782674425723,1141782666081815,1141782681535150,1141782683287546,1141782697583173,0,0
1.4-cruise-8,1141783662849571,1141783670676811,16,1,1141783664834363,1141783680085875,1141783669716968,1141783683827906,1141783685500719,1141783699362439,1141783748465621,1141783851327871
